Passage_ID,Subject,Target_Difficulty,Original_Passage,Restructured_Output,Original_FRE,Output_FRE,FRE_Delta,Original_FKGL,Output_FKGL,FKGL_Reduction,Original_GFI,Output_GFI,GFI_Reduction,Original_ASL,Output_ASL,ASL_Reduction,Original_ASW,Output_ASW,ASW_Reduction,Actual_BERTScore_F1,BERTScore_Method,Actual_ERR,Entity_Count,Preserved_Entity_Count,Missing_Entities,Pass_Fail,Pass_Fail_Rationale,System_Mode,API_Success,Evaluation_Date
PAS_011,Social Science,Grade 15,"Urban migration changes both the city and the community that migrants leave behind. When people move to cities, they often seek employment, education, medical care, or greater personal freedom. Their departure can reduce the labor available in rural areas, but remittances may support families and local businesses. Cities, meanwhile, gain workers and cultural diversity, yet they may also face pressure on housing, transportation, and sanitation. Sociologists examine migration as a process shaped by economic opportunity, family obligation, government policy, and social networks rather than by individual choice alone.","- Urban migration changes both the city and the community that migrants leave behind. - When people move to cities, they often seek employment, education, medical care or more personal freedom. - Their departure can reduce the labor available in rural areas, but remittances may support families and local businesses. - Cities gain workers and cultural diversity, yet they may also face pressure on housing, transportation, and sanitation. - Sociologists examine migration as a process shaped by economic opportunity, family obligation, government policy and social networks rather than by individual choice.",17.85,19.19,1.34,15.14,14.86,0.28,18.4,18.51,-0.11,17.6,17.2,0.4,2.02,2.01,0.01,0.9597,bert-score,1.0,0,0,,PASS,BERTScore 0.9597 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.28,local-model,True,2026-05-21
PAS_012,Social Science,Grade 16,"Economic inequality is not limited to differences in income; it also includes unequal access to housing, education, health care, political influence, and legal protection. These forms of inequality reinforce one another over time. For example, a household with limited wealth may live far from high-quality schools, which can reduce educational opportunity and later earnings. Researchers therefore distinguish between temporary hardship and structural disadvantage. The latter persists because institutions distribute risks and resources unevenly. Measuring inequality requires more than comparing salaries; it requires examining how social arrangements shape life chances across generations.","- Economic inequality is not limited to differences in income; it also includes unqual access to housing, education, health care, political influence, and legal protection. - Diese Formen der Ungleichheit stärken sich im Laufe der Zeit. - For example, a household with limited wealth may live far from high-quality schools, which can reduce educational opportunities and later earnings. - Researchers distinguish between temporary hardship and structural disadvantage. - The latter persists because institutions distribute risks and resources unevenly. - Measuring inequality requires more than comparing salaries; it requires examining how social arrangements shape life chances across families over time.",4.6,14.44,9.84,16.43,15.18,1.25,21.35,19.81,1.54,15.33,15.83,-0.5,2.21,2.08,0.13,0.9227,bert-score,1.0,0,0,,PASS,BERTScore 0.9227 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 1.25,local-model,True,2026-05-21
PAS_013,Social Science,Grade 18+,"Democratic participation is frequently celebrated as an expression of individual preference, yet participation itself is mediated by institutions that determine whose preferences become visible, organized, and politically consequential. Electoral rules, district boundaries, campaign finance systems, party structures, and media access shape the cost of participation before citizens ever enter a polling place. As a result, low turnout cannot be interpreted simply as apathy. It may reflect rational withdrawal from institutions perceived as unresponsive or exclusionary. Political analysis must therefore examine both citizen motivation and the architecture through which collective voice is translated into governmental authority.","- Democratic participation is often celebrated as an expression of individual preference, institutions mediate yet participation itself that determine whose preferences become visible, organized, and politically consequential. - Electoral rules, district boundaries, campaign finance systems, party structures and media access shape the cost of participation before citizens enter a polling place. - As a result, low turnout cannot be interpreted as apathy. - It may reflect rational withdrawal from institutions perceived as unresponsive or exclusionary. - Political analysis must therefore examine citizen motivation and the architecture through which collective voice is translated into governmental authority.",-9.26,-10.72,-1.46,19.27,19.23,0.04,24.02,23.64,0.38,19.0,18.0,1.0,2.33,2.36,-0.03,0.9601,bert-score,1.0,0,0,,PASS,BERTScore 0.9601 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.04,local-model,True,2026-05-21
PAS_014,Humanities,Grade 7,"A story can teach readers about choices. In many folktales, a character wants food, safety, friendship, or power. The character makes a plan, faces a problem, and learns a lesson. Readers follow these events and ask what the story means. A simple tale may still carry deep ideas about kindness, pride, or courage. Literature classes help students slow down and notice details. A repeated phrase, a strange object, or a change in setting can show how the message grows clearly.","- A story can teach readers about choices. - In folktales, a character wants food, safety, friendship or power. - The character makes a plan, faces a problem, and learns a lesson. - Readers follow these events and ask what the story means. - A simple tale may still carry deep ideas about kindness, pride, or courage. - Literature classes help students slow down and notice details. - A repeated phrase, a strange object, or a change in setting can show how the message grows clearly.",67.28,67.94,0.66,6.71,6.59,0.12,7.57,7.55,0.02,11.43,11.29,0.14,1.51,1.51,0.0,0.9107,bert-score,1.0,0,0,,PASS,BERTScore 0.9107 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.12,local-model,True,2026-05-21
PAS_015,Humanities,Grade 5-6,"A poem uses sound, rhythm, and images to make readers feel an idea. Unlike a report, a poem does not always explain its meaning directly. It may compare the moon to a lamp, a road to a life, or silence to a heavy room. These comparisons are called metaphors. When students read a poem, they can mark words that appeal to the senses. They can also ask who is speaking and what feeling controls the poem. This method helps readers move from confusion to interpretation.","- A poem uses sound, rhythm, and images to make readers feel an idea. - Unlike a report, a poem does not always explain its meaning. - It may compare moon to lamp, road to life, or silence to a heavy room. - These comparisons are called metaphors. - Students read a poem to mark words that appeal to the senses. - They can also ask who is speaking and what feeling controls the poem. - This method helps readers move from confusion to interpretation.",74.08,74.05,-0.03,5.94,5.7,0.24,7.68,7.02,0.66,12.14,11.14,1.0,1.42,1.44,-0.02,0.9356,bert-score,1.0,0,0,,PASS,BERTScore 0.9356 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.24,local-model,True,2026-05-21
PAS_016,Humanities,Grade 9-10,"Language changes as communities change. New words appear when people invent tools, share music, migrate, or meet other cultures. Some words disappear because the objects or customs they name become less common. Scholars who study language history examine letters, songs, laws, dictionaries, and everyday speech. They do not treat change as decay. Instead, they ask why speakers choose certain forms and how those choices signal identity. This view helps students understand that grammar and vocabulary are connected to power, belonging, memory, and creativity.","- Language changes as communities change. - New words appear when people invent tools, share music, migrate, or meet other cultures. - Some words disappear because the objects or customs they name become less common. - Scholars who study language history examine letters, songs, laws, dictionaries, and everyday speech. - They do not treat change as decay. - They ask why speakers choose certain forms and how those choices signal identity. - This view helps students understand that grammar and vocabulary are connected to power, belonging, memory, and creativity.",49.04,49.47,0.43,9.36,9.27,0.09,11.49,11.51,-0.02,11.86,11.71,0.15,1.72,1.72,0.0,0.9621,bert-score,1.0,0,0,,PASS,BERTScore 0.9621 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.09,local-model,True,2026-05-21
PAS_017,Humanities,Grade 10-11,"In visual art, perspective is both a technical method and a way of organizing attention. Renaissance painters used mathematical perspective to create the illusion of depth on flat surfaces. Lines were arranged so that roads, walls, and buildings seemed to meet at a vanishing point. This technique made painted spaces appear orderly and believable. Yet perspective also guides interpretation. By placing some figures near the center and others at the edge, an artist can suggest importance, distance, or social rank. Viewers therefore read paintings through geometry, symbolism, and cultural expectation at the same time.","- In visual art, perspective is a technique and a way of organizing attention. - Renaissance painters used mathematical perspective to create the illusion of depth on flat surfaces. - Lines were arranged so roads, walls, and buildings seemed to meet at a vanishing point. - This technique made painted spaces appear orderly and believable. - Yet perspective also guides interpretation. - By placing some figures near the center and others at the edge, an artist can suggest importance, distance, or social rank. - Viewers therefore read paintings through geometry, symbolism, and cultural expectation at the same time.",43.81,43.96,0.15,10.49,10.36,0.13,14.73,14.43,0.3,13.43,13.0,0.43,1.77,1.77,0.0,0.9201,bert-score,1.0,0,0,,PASS,BERTScore 0.9201 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.13,local-model,True,2026-05-21
PAS_018,Humanities,Grade 14-15,"Translation is never a purely mechanical transfer of words from one language to another. Each translation requires decisions about tone, rhythm, cultural reference, historical context, and implied meaning. A phrase that sounds respectful in one language may sound distant or ironic in another. Translators must therefore negotiate between fidelity to the source text and readability for the new audience. This negotiation becomes especially difficult in poetry, where sound patterns and ambiguity often carry meaning. A successful translation may not reproduce every feature exactly, but it recreates a literary experience that remains intellectually and emotionally persuasive.","- Translation is never a pure mechanical transfer of words from one language to another. - Each translation requires decisions about tone, rhythm, cultural reference, historical context, and implied meaning. - A phrase that sounds respectful in one language may sound distant or ironic in another. - Translators must negotiate between source text and readability for the new audience. - This negotiation becomes especially difficult in poetry, where sound patterns and ambiguity often carry meaning. - A successful translation may not reproduce every feature exactly, but it recreates a literary experience that remains intellectually and emotionally persuasive.",18.0,21.31,3.31,14.68,14.05,0.63,20.65,19.69,0.96,15.83,15.17,0.66,2.04,2.01,0.03,0.9009,bert-score,1.0,0,0,,PASS,BERTScore 0.9009 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.63,local-model,True,2026-05-21
PAS_019,Humanities,Grade 18+,"Literary modernism emerged from a crisis in representation: inherited narrative forms seemed inadequate to describe industrial violence, urban anonymity, psychological fragmentation, and the collapse of stable moral frameworks. Rather than presenting reality as a coherent sequence of events, many modernist writers foregrounded discontinuity, unreliable perception, and linguistic self-consciousness. Stream of consciousness, fractured chronology, and symbolic compression were not decorative experiments; they were formal responses to historical dislocation. To interpret modernist texts, readers must attend to absence, interruption, and ambiguity as structural principles through which meaning is produced rather than merely obscured.","- Literary modernism emerged from a crisis in representation: inherited narrative forms seemed inadequate to describe industrial violence, urban anonymity, psychological fragmentation, and the collapse of stable moral frameworks. - Rather than presenting reality as a coherent sequence of events, many modernist writers predicted discontinuity, unreliable perception, and linguistic self-consciousness. - Stream of consciousness, fractured chronology, and symbolic compression were not decorative experiments; they were formal responses to historical dislocation. - To interpret modernist texts, readers must consider absence, interruption, and ambiguity as structural principles through which meaning is produced.",-11.46,-11.67,-0.21,20.57,20.29,0.28,27.03,27.09,-0.06,23.0,21.75,1.25,2.3,2.32,-0.02,0.9595,bert-score,1.0,0,0,,PASS,BERTScore 0.9595 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.28,local-model,True,2026-05-21
PAS_020,History,Grade 7,"Ancient farmers changed human life. Before farming, many people moved from place to place to find food. When groups learned to plant seeds and care for animals, they could stay in one area longer. Villages grew near rivers because water helped crops survive. People stored grain, made tools, and traded with neighbors. Farming also created new problems, such as land disputes and disease. Historians study these changes because farming helped lead to towns, governments, markets, trade, and early written records.","- Ancient farmers changed life. - Before farming, many people moved from place to place to find food. - When groups learned to plant seeds and care for animals, they could stay in one area longer. - Villages grew near rivers because water helped crops survive. - People stored grain, made tools, and traded with neighbors. - Farming created new problems, such as land disputes and disease. - Historians study these changes because farming helped lead to towns, governments, markets, and early written records.",65.16,66.02,0.86,7.01,6.78,0.23,7.07,7.0,0.07,11.43,11.0,0.43,1.54,1.53,0.01,0.9504,bert-score,1.0,0,0,,PASS,BERTScore 0.9504 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.23,local-model,True,2026-05-21
PAS_021,History,Grade 8-9,"The Silk Road was not one single road. It was a network of routes that linked parts of Asia, the Middle East, Africa, and Europe. Traders carried silk, spices, glass, horses, paper, and many other goods. Ideas also moved along these routes. Religions, stories, inventions, and artistic styles traveled with merchants, monks, and diplomats. The journey was difficult because travelers faced deserts, mountains, taxes, and bandits. Even with these dangers, exchange along the Silk Road helped distant societies learn from one another.","- The Silk Road was not one single road. - It was a network of routes that relied parts of Asia, the Middle East, Africa and Europe. - Traders carried silk, spices, glass, horses, paper, and many other goods. - Ideas also moved along these routes. - Religions, stories, inventions, and artistic styles traveled with merchants, monks, and diplomats. - The journey was difficult because travelers faced deserts, mountains, taxes, and bandits. - exchange along the Silk Road helped distant societies learn from each other.",55.66,56.69,1.03,8.41,8.12,0.29,9.56,9.07,0.49,11.71,11.14,0.57,1.65,1.64,0.01,0.9275,bert-score,1.0,3,3,,PASS,BERTScore 0.9275 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.29,local-model,True,2026-05-21
PAS_022,History,Grade 12,"The printing press changed Europe by making books faster and cheaper to produce. Before movable type, many texts were copied by hand, which limited access to learning. Printed books allowed religious debates, scientific ideas, and political arguments to spread across cities and kingdoms. Readers could compare texts, challenge authorities, and join public discussions. The press did not create social change by itself, but it accelerated communication. Historians connect it to the Reformation, the growth of universities, and the gradual expansion of literacy among urban populations.","- The printing press changed Europe by making books faster and cheaper to produce. - Before movable type, hand copi many texts, which restricted access to learning. - Printed books allowed religious debates, scientific ideas, and political arguments to spread across cities and kingdoms. - Readers could compare texts, challenge authorities, and join public discussions. - The press did not create social change by itself, but it accelerated communication. - Historians connect it to the Reformation, the growth of universities, and the gradual expansion of literacy among urban populations.",35.2,33.79,-1.41,11.87,11.98,-0.11,13.67,13.73,-0.06,14.17,13.83,0.34,1.86,1.88,-0.02,0.9412,bert-score,1.0,0,0,,PASS,BERTScore 0.9412 >= 0.75; ERR 1.00 >= 0.90; FKGL increased by 0.11,local-model,True,2026-05-21
PAS_023,History,Grade 16,"Industrialization transformed labor by reorganizing time, space, and discipline. In many preindustrial households, work followed seasonal rhythms and was often connected to family production. Factories introduced fixed schedules, wage labor, machine pacing, and centralized supervision. These changes increased output, but they also produced crowded cities, unsafe workplaces, and conflicts between owners and workers. Reformers documented child labor, long hours, and industrial accidents, while labor movements demanded legal protection and collective bargaining. The history of industrialization therefore includes both technological innovation and struggles over the social cost of economic growth.","- Industrialization transformed labor by reorganizing time, space, and discipline. - In many preindustrial households, work followed seasonal rhythms and was often connected to family production. - Factories introduced fixed schedules, wage labor, machine pacing and central supervision. - These changes increased output, but they also produced crowded cities, unsafe workplaces, and conflicts between owners and workers. - Reformers documented child labor, long hours, and industrial accidents, while labor movements demanded legal protection and collective bargaining. - The history of industrialization includes technological innovation and struggles over the social cost of economic growth.",4.52,6.39,1.87,16.31,15.97,0.34,21.66,20.97,0.69,14.83,14.5,0.33,2.21,2.2,0.01,0.9633,bert-score,1.0,0,0,,PASS,BERTScore 0.9633 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.34,local-model,True,2026-05-21
PAS_024,History,Grade 18+,"Decolonization after the Second World War cannot be understood simply as the withdrawal of European empires. It involved diplomatic negotiation, armed resistance, ideological conflict, economic dependency, and competing visions of sovereignty. Anti-colonial leaders had to build national institutions while confronting borders, bureaucracies, and trade relationships inherited from imperial rule. Some movements emphasized liberal constitutionalism, while others drew on socialism, religious identity, or pan-regional solidarity. The resulting states faced the difficult task of transforming political independence into social and economic autonomy. Thus, decolonization was not a single event but a prolonged and uneven restructuring of global power.","- Decolonization after the Second World War cannot be understood simply as the withdrawal of European empires. - It involved diplomatic negotiation, armed resistance, ideological conflict, economic dependency, and competing visions of sovereignty. - Anti-colonial leaders had to build national institutions while confronting borders, bureaucracies, and trade relationships inherited from imperial rule. - Some movements emphasized liberal constitutionalism, while others drew on socialism, religious identity, or pan-regional solidarity. - Die resulting states faced the difficult task of transforming political independence into social and economic autonomy. - So, decolonization was not a single event but a prolonged and uneven restructuring of global power.",-7.43,-7.43,0.0,18.35,18.35,0.0,23.68,23.68,0.0,16.33,16.33,0.0,2.34,2.34,0.0,0.9624,bert-score,1.0,1,1,,PASS,BERTScore 0.9624 >= 0.75; ERR 1.00 >= 0.90; FKGL unchanged,local-model,True,2026-05-21
PAS_025,History,Grade 18+,"Historians increasingly interpret the Cold War as a global system of asymmetrical entanglements rather than a bipolar contest confined to Washington and Moscow. Newly independent states, revolutionary movements, multinational corporations, intelligence agencies, and international financial institutions all shaped the conflict's local trajectories. In many regions, ideological alignment was inseparable from development policy, military patronage, resource extraction, and postcolonial state formation. This perspective complicates narratives that treat smaller nations as passive proxies. Instead, it reveals how local actors appropriated superpower rivalry to pursue domestic agendas, consolidate authority, or resist external domination under conditions of profound geopolitical constraint.","- Historians interpret the Cold War as a global system of asymmetrical entanglements rather than bipolar contest confined to Washington and Moscow. - Newly independent states, revolutionary movements, multinational corporations, intelligence agencies, and international financial institutions all shaped the conflict's local trajectories. - In many regions, ideological alignment was inseparable from development policy, military patronage, resource extraction, and postcolonial state formation. - This perspective complicates narratives that treat smaller nations as passive proxies. - It reveals how local actors appropriated superpower rivalry to pursue domestic agendas, consolidate authority, or resist external domination under conditions of profound geopolitical constraint.",-22.39,-22.18,0.21,21.15,20.97,0.18,25.6,25.5,0.1,19.2,18.6,0.6,2.48,2.48,0.0,0.9705,bert-score,1.0,1,1,,PASS,BERTScore 0.9705 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.18,local-model,True,2026-05-21
